City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,namibe,-15.1961,12.1522,23.75,73,84,4.32,AO,2025-01-08
242,rawson,-43.3002,-65.1023,25.16,53,0,2.06,AR,2025-01-08
243,el bauga,18.262,33.9081,25.79,18,64,3.77,SD,2025-01-08
244,korenevo,55.6719,38.0078,4.21,100,75,4.0,RU,2025-01-08
245,ciudad del carmen,18.6333,-91.8333,22.9,76,60,6.32,MX,2025-01-08
246,nanao,37.05,136.9667,4.23,64,100,7.92,JP,2025-01-08
247,kupang,-10.1667,123.5833,26.71,86,100,1.87,ID,2025-01-08
248,ash shafa,21.0694,40.3119,12.68,39,41,1.6,SA,2025-01-08
249,flying fish cove,-10.4217,105.6791,25.82,88,40,2.06,CX,2025-01-08
250,whitehorse,60.7161,-135.0538,-3.57,74,75,4.63,CA,2025-01-08
251,geraldton,-28.7667,114.6,21.23,78,20,7.2,AU,2025-01-08
252,selfoss,63.9331,-20.9971,-11.27,75,0,4.74,IS,2025-01-08
253,manismata,-2.4667,111.0333,24.02,98,98,1.15,ID,2025-01-08
254,kuqa,41.7278,82.9364,-6.12,85,100,0.74,CN,2025-01-08
255,champerico,14.3,-91.9167,26.94,68,26,1.66,GT,2025-01-08
256,nan,18.8333,100.6667,18.8,60,6,0.08,TH,2025-01-08
257,whangarei,-35.7317,174.3239,13.89,82,87,1.92,NZ,2025-01-08
258,el granada,37.5027,-122.4694,13.21,46,0,2.06,US,2025-01-08
259,kaohsiung,22.6163,120.3133,18.97,84,75,1.03,TW,2025-01-08
260,nishinoomote,30.7333,131.0,14.43,51,74,12.3,JP,2025-01-08
261,caibarien,22.5206,-79.4669,22.16,64,73,5.63,CU,2025-01-08
262,nuuk,64.1835,-51.7216,-3.66,68,40,4.12,GL,2025-01-08
263,aasiaat,68.7098,-52.8699,-6.89,94,100,4.65,GL,2025-01-08
264,hangal,14.7667,75.1333,21.66,37,26,3.5,IN,2025-01-08
265,katabu,-4.9333,122.5167,24.75,90,56,0.79,ID,2025-01-08
